UserID,Name,Gender,DOB,Interests,City,Country
1,Ali Khan,Male,2000-03-15,"Cricket, Music",Lahore,Pakistan
2,Sara Ahmed,Female,2001-06-22,"Reading, Travel",Karachi,Pakistan
3,Zaid Mirza,Male,1999-11-08,"Football, Gaming",Islamabad,Pakistan
4,Hina Baig,Female,2002-01-30,"Art, Cooking",Lahore,Pakistan
5,Omar Farooq,Male,2000-07-19,"Music, Travel",Karachi,Pakistan
6,Aisha Raza,Female,2001-09-05,"Cricket, Reading",Islamabad,Pakistan
7,Bilal Sheikh,Male,1998-04-12,"Gaming, Football",Lahore,Pakistan
8,Noor Fatima,Female,2003-12-25,"Cooking, Art",Karachi,Pakistan
9,Hamza Siddiqui,Male,2000-02-14,"Travel, Music",Islamabad,Pakistan
10,Zara Malik,Female,2001-08-17,"Reading, Cricket",Lahore,Pakistan
11,Usman Qureshi,Male,1999-05-23,"Football, Gaming",Karachi,Pakistan
12,Maham Tariq,Female,2002-10-11,"Art, Travel",Islamabad,Pakistan
13,Faisal Awan,Male,2000-06-30,"Cricket, Cooking",Lahore,Pakistan
14,Sana Javed,Female,2001-03-08,"Music, Reading",Karachi,Pakistan
15,Arslan Butt,Male,1999-07-16,"Gaming, Travel",Islamabad,Pakistan
16,Mehwish Ali,Female,2002-11-20,"Football, Art",Lahore,Pakistan
17,Danish Rauf,Male,2000-09-04,"Reading, Cricket",Karachi,Pakistan
18,Amna Cheema,Female,2001-01-27,"Travel, Cooking",Islamabad,Pakistan
19,Kamran Haider,Male,1998-08-13,"Music, Gaming",Lahore,Pakistan
20,Rabia Nawaz,Female,2003-04-02,"Cricket, Art",Karachi,Pakistan
